2018-08-15 18:36:06.6393 ERROR                   11|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 19:36:06.7667 ERROR                    3|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 19:36:35.0639 ERROR                    3|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 19:37:00.3299 ERROR                    3|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 19:37:25.0802 ERROR                    3|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 19:37:46.2210 ERROR                    3|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 19:56:06.7784 ERROR                   56|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 19:56:31.3252 ERROR                   56|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 19:56:56.7157 ERROR                   56|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 19:57:21.5436 ERROR                   56|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 19:57:42.6841 ERROR                   56|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 20:16:06.8180 ERROR                   71|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 20:16:35.7553 ERROR                   71|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 20:17:01.0519 ERROR                   71|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 20:17:25.7862 ERROR                   71|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 20:17:46.9580 ERROR                   71|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 20:36:06.8730 ERROR                   65|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 20:36:37.0759 ERROR                   65|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 20:36:59.9508 ERROR                   65|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 20:37:21.8413 ERROR                   65|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 20:37:43.1849 ERROR                   65|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 20:56:06.8343 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 20:56:34.0842 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 20:56:56.5216 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 20:57:18.4902 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 20:57:39.6463 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 21:16:06.7957 ERROR                   82|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 21:16:37.6236 ERROR                   82|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 21:17:02.8891 ERROR                   82|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 21:17:27.6233 ERROR                   82|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 21:17:48.8107 ERROR                   82|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 21:36:06.7882 ERROR                   62|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 21:36:37.7100 ERROR                   62|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 21:37:03.0379 ERROR                   62|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 21:37:27.7877 ERROR                   62|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 21:37:48.9595 ERROR                   62|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 21:56:06.7808 ERROR                   73|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 21:56:30.2807 ERROR                   73|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 21:56:55.5618 ERROR                   73|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 21:57:20.3116 ERROR                   73|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 21:57:41.4990 ERROR                   73|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 22:16:06.8516 ERROR                   26|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 22:16:31.4921 ERROR                   26|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 22:16:56.8356 ERROR                   26|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 22:17:21.6636 ERROR                   26|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 22:17:42.8041 ERROR                   26|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 22:36:06.8598 ERROR                   83|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 22:36:37.2659 ERROR                   83|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 22:37:02.5156 ERROR                   83|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 22:37:24.2655 ERROR                   83|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 22:37:45.4061 ERROR                   83|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 22:56:06.8680 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 22:56:37.6334 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 22:56:59.9302 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 22:57:21.6800 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 22:57:42.8518 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 22:58:04.0391 ERROR                   32|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-15 23:16:06.8606 ERROR                   64|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
2018-08-15 23:16:42.4697 ERROR                   64|   JbaAccountingDataPuller |                 Pull | [172.18.3.115][1000000000000091] Accounting data request for terminal [1000000000000091] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.115:443
2018-08-15 23:17:04.7509 ERROR                   64|   JbaAccountingDataPuller |                 Pull | [172.18.3.12][1000000000000134] Accounting data request for terminal [1000000000000134] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.12:443
2018-08-15 23:17:29.4694 ERROR                   64|   JbaAccountingDataPuller |                 Pull | [172.18.67.12][1000000000000137] Accounting data request for terminal [1000000000000137] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.67.12:443
2018-08-15 23:17:50.6412 ERROR                   64|   JbaAccountingDataPuller |                 Pull | [172.18.3.13][1000000000000133] Accounting data request for terminal [1000000000000133] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.3.13:443
2018-08-15 23:18:11.8285 ERROR                   64|   JbaAccountingDataPuller |                 Pull | [172.18.15.99][1000000000000198] Accounting data request for terminal [1000000000000198] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.99:443
2018-08-15 23:36:06.8532 ERROR                  108|   JbaAccountingDataPuller |                 Pull | [172.18.15.25][1000000000000197] Accounting data request for terminal [1000000000000197] failed [System.Net.WebException: Unable to connect to the remote server ---> System.Net.Sockets.SocketException: A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond 172.18.15.25:443
